"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","dissection:ch1","tissue type:ch1","treatment:ch1"
"GSM1551321","Normal-11","GSM1551321","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551321/suppl/GSM1551321_Normal-11_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551322","Normal-12","GSM1551322","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551322/suppl/GSM1551322_Normal-12_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551323","Normal-13","GSM1551323","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551323/suppl/GSM1551323_Normal-13_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551324","Normal-14","GSM1551324","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551324/suppl/GSM1551324_Normal-14_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551325","Normal-15","GSM1551325","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551325/suppl/GSM1551325_Normal-15_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551326","Normal-16","GSM1551326","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551326/suppl/GSM1551326_Normal-16_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551327","Normal-17","GSM1551327","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551327/suppl/GSM1551327_Normal-17_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551328","Normal-18","GSM1551328","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551328/suppl/GSM1551328_Normal-18_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551329","Normal-19","GSM1551329","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551329/suppl/GSM1551329_Normal-19_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551330","Normal-20","GSM1551330","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551330/suppl/GSM1551330_Normal-20_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551331","Normal-21","GSM1551331","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551331/suppl/GSM1551331_Normal-21_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551332","Normal-22","GSM1551332","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551332/suppl/GSM1551332_Normal-22_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551333","Normal-23","GSM1551333","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551333/suppl/GSM1551333_Normal-23_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551334","Normal-24","GSM1551334","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551334/suppl/GSM1551334_Normal-24_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
